RoadSuffix
Alley
Arcade
Avenue
Boulevard
Circle
Close
Court
Crescent
Drive
Esplanade
Glade
Green
Grove
Highway
Lane
Loop
Mall
Mews
Parade
Place
Promenade
Quay
Rise
Road
Square
State Highway
Steps
Street
Terrace
Track
Walk
Way
Wharf
Aly
Arc
Ave
Blvd
Cir
Cl
Crt
Cres
Dr
Esp
Gld
Grn
Grv
Hwy
Lane
Loop
Mall
Mews
Pde
Pl
Prom
Qy
Rise
Rd
Sq
SH
Stps
St
Tce
Trk
Walk
Way
Whrf
